% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 0.5, 1-2 = 0, 2-1 = 0, 2-2 = 0
% Controller 1: PI controller: proportional gain +0.0 dB, integrator crossover 2.100 kHz, input offset -1.500 0 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.0 Hz, integrator saturation +40.0 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-06-02 T 20:03:43 -0700
% Time (s), Probe A (V), Probe B (V)
2.6333333333e-02, 5.0022899365e+00, 3.0243839660e+00
2.6666666667e-02, 5.0022899365e+00, 3.0247291567e+00
2.7000000000e-02, 5.0022899365e+00, 3.0249036280e+00
2.7333333333e-02, 5.0022899365e+00, 3.0248435949e+00
2.7666666667e-02, 5.0022899365e+00, 3.0249186363e+00
2.8000000000e-02, 5.0022899365e+00, 3.0245509333e+00
2.8333333333e-02, 5.0022899365e+00, 3.0244383711e+00
2.8666666667e-02, 5.0022899365e+00, 3.0243970983e+00
2.9000000000e-02, 5.0022899365e+00, 3.0241175689e+00
2.9333333333e-02, 5.0022899365e+00, 3.0239899985e+00
2.9666666667e-02, 5.0022899365e+00, 3.0239149570e+00
3.0000000000e-02, 5.0022899365e+00, 3.0238849405e+00
3.0333333333e-02, 5.0022899365e+00, 3.0237029650e+00
3.0666666667e-02, 5.0022899365e+00, 3.0233483942e+00
3.1000000000e-02, 5.0022899365e+00, 3.0226298723e+00
3.1333333333e-02, 5.0022899365e+00, 3.0213410356e+00
3.1666666667e-02, 5.0022899365e+00, 3.0202623149e+00
3.2000000000e-02, 5.0022899365e+00, 3.0207538363e+00
3.2333333333e-02, 5.0022899365e+00, 3.0235810226e+00
3.2666666667e-02, 5.0022899365e+00, 3.0242376352e+00
3.3000000000e-02, 5.0022899365e+00, 3.0250574630e+00
3.3333333333e-02, 5.0022899365e+00, 3.0253707610e+00
3.3666666667e-02, 5.0022899365e+00, 3.0255189678e+00
3.4000000000e-02, 5.0022899365e+00, 3.0255996374e+00
3.4333333333e-02, 5.0022899365e+00, 3.0258210097e+00
3.4666666667e-02, 5.0022899365e+00, 3.0254364223e+00
3.5000000000e-02, 5.0022899365e+00, 3.0252863394e+00
3.5333333333e-02, 5.0022899365e+00, 3.0252075459e+00
3.5666666667e-02, 5.0022899365e+00, 3.0250574630e+00
3.6000000000e-02, 5.0022899365e+00, 3.0248642313e+00
3.6333333333e-02, 5.0022899365e+00, 3.0244646356e+00
3.6666666667e-02, 5.0022899365e+00, 3.0243933462e+00
3.7000000000e-02, 5.0022899365e+00, 3.0243895942e+00
3.7333333333e-02, 5.0022899365e+00, 3.0243633296e+00
3.7666666667e-02, 5.0022899365e+00, 3.0240762961e+00
3.8000000000e-02, 5.0022899365e+00, 3.0239562298e+00
3.8333333333e-02, 5.0022899365e+00, 3.0239112050e+00
3.8666666667e-02, 5.0022899365e+00, 3.0239187091e+00
3.9000000000e-02, 5.0022899365e+00, 3.0238661801e+00
3.9333333333e-02, 5.0022899365e+00, 3.0240444035e+00
3.9666666667e-02, 5.0022899365e+00, 3.0246691235e+00
4.0000000000e-02, 5.0022899365e+00, 3.0264757462e+00
4.0333333333e-02, 5.0022899365e+00, 3.0269879041e+00
4.0666666667e-02, 5.0022899365e+00, 3.0247985700e+00
4.1000000000e-02, 5.0022899365e+00, 3.0242151228e+00
4.1333333333e-02, 5.0022899365e+00, 3.0242076187e+00
4.1666666667e-02, 5.0022899365e+00, 3.0243783379e+00
4.2000000000e-02, 5.0022899365e+00, 3.0243727098e+00
4.2333333333e-02, 5.0022899365e+00, 3.0244890241e+00
4.2666666667e-02, 5.0022899365e+00, 3.0244196107e+00
4.3000000000e-02, 5.0022899365e+00, 3.0246466111e+00
4.3333333333e-02, 5.0022899365e+00, 3.0245696936e+00
4.3666666667e-02, 5.0022899365e+00, 3.0245396770e+00
4.4000000000e-02, 5.0022899365e+00, 3.0241869823e+00
4.4333333333e-02, 5.0022899365e+00, 3.0240050068e+00
4.4666666667e-02, 5.0022899365e+00, 3.0239055769e+00
4.5000000000e-02, 5.0022899365e+00, 3.0237948907e+00
4.5333333333e-02, 5.0022899365e+00, 3.0236466839e+00
4.5666666667e-02, 5.0022899365e+00, 3.0235341217e+00
4.6000000000e-02, 5.0022899365e+00, 3.0235885268e+00
4.6333333333e-02, 5.0022899365e+00, 3.0234834687e+00
4.6666666667e-02, 5.0022899365e+00, 3.0234647084e+00
4.7000000000e-02, 5.0022899365e+00, 3.0234309397e+00
4.7333333333e-02, 5.0022899365e+00, 3.0225379466e+00
4.7666666667e-02, 5.0022899365e+00, 3.0220839459e+00
4.8000000000e-02, 5.0022899365e+00, 3.0210108532e+00
4.8333333333e-02, 5.0022899365e+00, 3.0197426529e+00
4.8666666667e-02, 5.0022899365e+00, 3.0204649268e+00
4.9000000000e-02, 5.0022899365e+00, 3.0237254774e+00
4.9333333333e-02, 5.0022899365e+00, 3.0240894284e+00
4.9666666667e-02, 5.0022899365e+00, 3.0245134125e+00
5.0000000000e-02, 5.0022899365e+00, 3.0250255704e+00
5.0333333333e-02, 5.0022899365e+00, 3.0252694551e+00
5.0666666667e-02, 5.0022899365e+00, 3.0258341419e+00
5.1000000000e-02, 5.0022899365e+00, 3.0257853650e+00
5.1333333333e-02, 5.0022899365e+00, 3.0260480100e+00
5.1666666667e-02, 5.0022899365e+00, 3.0257347120e+00
5.2000000000e-02, 5.0022899365e+00, 3.0252788352e+00
5.2333333333e-02, 5.0022899365e+00, 3.0252019178e+00
5.2666666667e-02, 5.0022899365e+00, 3.0249486529e+00
5.3000000000e-02, 5.0022899365e+00, 3.0250462068e+00
5.3333333333e-02, 5.0022899365e+00, 3.0247310327e+00
5.3666666667e-02, 5.0022899365e+00, 3.0243802140e+00
5.4000000000e-02, 5.0022899365e+00, 3.0242019905e+00
5.4333333333e-02, 5.0022899365e+00, 3.0241231970e+00
5.4666666667e-02, 5.0022899365e+00, 3.0240181390e+00
5.5000000000e-02, 5.0022899365e+00, 3.0239355934e+00
5.5333333333e-02, 5.0022899365e+00, 3.0238980727e+00
5.5666666667e-02, 5.0022899365e+00, 3.0239337174e+00
5.6000000000e-02, 5.0022899365e+00, 3.0239956266e+00
5.6333333333e-02, 5.0022899365e+00, 3.0248492230e+00
5.6666666667e-02, 5.0022899365e+00, 3.0266614738e+00
5.7000000000e-02, 5.0022899365e+00, 3.0273499790e+00
5.7333333333e-02, 5.0022899365e+00, 3.0246578673e+00
5.7666666667e-02, 5.0022899365e+00, 3.0242076187e+00
5.8000000000e-02, 5.0022899365e+00, 3.0244702637e+00
5.8333333333e-02, 5.0022899365e+00, 3.0247329087e+00
5.8666666667e-02, 5.0022899365e+00, 3.0242582716e+00
5.9000000000e-02, 5.0022899365e+00, 3.0241869823e+00
5.9333333333e-02, 5.0022899365e+00, 3.0239918745e+00
5.9666666667e-02, 5.0022899365e+00, 3.0239374695e+00
6.0000000000e-02, 5.0022899365e+00, 3.0239187091e+00
6.0333333333e-02, 5.0022899365e+00, 3.0238324114e+00
6.0666666667e-02, 5.0022899365e+00, 3.0237648742e+00
6.1000000000e-02, 5.0022899365e+00, 3.0237442378e+00
6.1333333333e-02, 5.0022899365e+00, 3.0234027992e+00
6.1666666667e-02, 5.0022899365e+00, 3.0235078572e+00
6.2000000000e-02, 5.0022899365e+00, 3.0233202536e+00
6.2333333333e-02, 5.0022899365e+00, 3.0232602205e+00
6.2666666667e-02, 5.0022899365e+00, 3.0232939891e+00
6.3000000000e-02, 5.0022899365e+00, 3.0233971711e+00
6.3333333333e-02, 5.0022899365e+00, 3.0233802868e+00
6.3666666667e-02, 5.0022899365e+00, 3.0231570385e+00
6.4000000000e-02, 5.0022899365e+00, 3.0224178803e+00
