% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 1, 1-2 = 0, 2-1 = -1, 2-2 = 1
% Controller 1: PI controller: proportional gain +17.1 dB, integrator crossover 482.9 Hz, input offset 0.000 0 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.1 Hz, integrator saturation +40.2 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-05-22 T 17:35:30 -0700
% Time (s), Probe A (V), Probe B (V)
2.6331648000e-02, 2.9997655658e+00, 4.6094879725e-01
2.6664960000e-02, 2.9996350641e+00, 4.6015898608e-01
2.6998272000e-02, 2.9993311463e+00, 4.5800512083e-01
2.7331584000e-02, 2.9998551466e+00, 4.5971571394e-01
2.7664896000e-02, 2.9996030542e+00, 4.5750861616e-01
2.7998208000e-02, 2.9996783302e+00, 4.5877816493e-01
2.8331520000e-02, 2.9994821672e+00, 4.5480812091e-01
2.8664832000e-02, 2.9995321166e+00, 4.5552793249e-01
2.8998144000e-02, 2.9998728517e+00, 4.5867885227e-01
2.9331456000e-02, 2.9997220653e+00, 4.5806069840e-01
2.9664768000e-02, 2.9997430534e+00, 4.5810396448e-01
2.9998080000e-02, 2.9999346436e+00, 4.6053677284e-01
3.0331392000e-02, 2.9993057025e+00, 4.5524981015e-01
3.0664704000e-02, 2.9994384321e+00, 4.5331749302e-01
3.0998016000e-02, 2.9988316517e+00, 4.4677317580e-01
3.1331328000e-02, 2.9989927562e+00, 4.4394962431e-01
3.1664640000e-02, 2.9984686387e+00, 4.3225060493e-01
3.1997952000e-02, 2.9991700417e+00, 4.2854215068e-01
3.2331264000e-02, 3.0027501047e+00, 4.6277875316e-01
3.2664576000e-02, 3.0014346517e+00, 4.7187664857e-01
3.2997888000e-02, 2.9996899381e+00, 4.6356393287e-01
3.3331200000e-02, 2.9995695201e+00, 4.6172858336e-01
3.3664512000e-02, 2.9990491546e+00, 4.5594910258e-01
3.3997824000e-02, 2.9988432596e+00, 4.5003138139e-01
3.4331136000e-02, 3.0000311422e+00, 4.5982499304e-01
3.4664448000e-02, 2.9995001067e+00, 4.5631545724e-01
3.4997760000e-02, 2.9997863195e+00, 4.5938705588e-01
3.5331072000e-02, 2.9995025690e+00, 4.5707525184e-01
3.5664384000e-02, 2.9999419132e+00, 4.6040615383e-01
3.5997696000e-02, 2.9996099721e+00, 4.5855726169e-01
3.6331008000e-02, 2.9996012954e+00, 4.5827726331e-01
3.6664320000e-02, 2.9996526519e+00, 4.5747344049e-01
3.6997632000e-02, 2.9997463365e+00, 4.5802136026e-01
3.7330944000e-02, 2.9994802911e+00, 4.5600016594e-01
3.7664256000e-02, 2.9996249804e+00, 4.5748475533e-01
3.7997568000e-02, 2.9990900756e+00, 4.5400963307e-01
3.8330880000e-02, 2.9997791671e+00, 4.5758817182e-01
3.8664192000e-02, 2.9999453135e+00, 4.5823675265e-01
3.8997504000e-02, 3.0000189480e+00, 4.6222444314e-01
3.9330816000e-02, 2.9999653637e+00, 4.6468597830e-01
3.9664128000e-02, 3.0004666171e+00, 4.7139984228e-01
3.9997440000e-02, 3.0001827494e+00, 4.7380515499e-01
4.0330752000e-02, 2.9992908115e+00, 4.6861791534e-01
4.0664064000e-02, 2.9970824826e+00, 4.4515702938e-01
4.0997376000e-02, 2.9987138131e+00, 4.3706509967e-01
4.1330688000e-02, 2.9999843585e+00, 4.4643947589e-01
4.1664000000e-02, 3.0001070044e+00, 4.4741671479e-01
4.1997312000e-02, 3.0004565334e+00, 4.5800306891e-01
4.2330624000e-02, 3.0001343242e+00, 4.6088618455e-01
4.2663936000e-02, 2.9999651292e+00, 4.6136211144e-01
4.2997248000e-02, 2.9999944422e+00, 4.6360790246e-01
4.3330560000e-02, 2.9995411450e+00, 4.6185310525e-01
4.3663872000e-02, 2.9992624364e+00, 4.5755827249e-01
4.3997184000e-02, 2.9996510104e+00, 4.5832973369e-01
4.4330496000e-02, 2.9997918304e+00, 4.6052657189e-01
4.4663808000e-02, 2.9996622666e+00, 4.5953965968e-01
4.4997120000e-02, 2.9996965043e+00, 4.5937075781e-01
4.5330432000e-02, 2.9992936255e+00, 4.5662775862e-01
4.5663744000e-02, 2.9995303578e+00, 4.5504760864e-01
4.5997056000e-02, 3.0001068872e+00, 4.5962343642e-01
4.6330368000e-02, 2.9994240100e+00, 4.5594107080e-01
4.6663680000e-02, 2.9994657518e+00, 4.5666996943e-01
4.6996992000e-02, 2.9996025852e+00, 4.5638094263e-01
4.7330304000e-02, 2.9995820661e+00, 4.5387883818e-01
4.7663616000e-02, 2.9990465750e+00, 4.4746009812e-01
4.7996928000e-02, 2.9988905123e+00, 4.4121002542e-01
4.8330240000e-02, 2.9982942846e+00, 4.3070703765e-01
4.8663552000e-02, 2.9993277459e+00, 4.2990772904e-01
